ip_address,campaign_id,bucket_start_epoch,bucket_start,clicks_in_window,distinct_devices,distinct_user_agents,campaign_name
203.0.113.77,8,1767787200,2026-01-07 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767891600,2026-01-08 17:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767981600,2026-01-09 18:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768032000,2026-01-10 08:00:00,25,1,24,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768125600,2026-01-11 10:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768194000,2026-01-12 05:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768323600,2026-01-13 17:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768359600,2026-01-14 03:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768460400,2026-01-15 07:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768554000,2026-01-16 09:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768676400,2026-01-17 19:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768744800,2026-01-18 14:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768788000,2026-01-19 02:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1768935600,2026-01-20 19:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769025600,2026-01-21 20:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769079600,2026-01-22 11:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769180400,2026-01-23 15:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769263200,2026-01-24 14:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769313600,2026-01-25 04:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769418000,2026-01-26 09:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769515200,2026-01-27 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769572800,2026-01-28 04:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1769666400,2026-01-29 06:00:00,25,1,25,Incubate 24/7 Architectures Campaign
